transaction_amount,merchant_category,payment_method,ip_country,customer_country,velocity_1h,failed_logins,geo_distance,is_new_device,device_risk_score,is_fraud
122058,electronics,debit_card,Germany,UAE,38,0,6730,1,0.179,1
146967,grocery,wallet,Russia,Nigeria,19,2,2354,1,0.493,0
132032,gaming,upi,UAE,Germany,8,0,13879,1,0.874,1
365938,electronics,debit_card,Singapore,USA,42,6,3056,1,0.773,1
259278,healthcare,debit_card,India,Nigeria,43,0,11133,0,0.081,1
119979,fuel,upi,Nigeria,Nigeria,32,3,8204,0,0.862,0
110368,travel,wallet,USA,India,13,0,10323,1,0.274,0
207992,fuel,debit_card,UK,Germany,20,1,11296,0,0.666,0
54986,fuel,upi,Russia,UAE,36,0,9624,0,0.146,0
137437,luxury,wallet,Singapore,India,43,4,3158,0,0.675,0
475702,luxury,wallet,UK,UAE,44,6,6083,1,0.036,1
430510,gaming,debit_card,Russia,UAE,37,2,5864,0,0.601,1
87598,luxury,credit_card,Germany,UAE,30,7,9627,0,0.646,1
374971,luxury,credit_card,Germany,India,10,4,957,0,0.244,0
388568,electronics,debit_card,UK,UK,31,4,3859,1,0.937,1
175303,healthcare,wallet,USA,Nigeria,25,4,4809,0,0.046,0
191435,grocery,debit_card,Singapore,UAE,29,7,6139,1,0.892,1
278267,gaming,upi,Singapore,UK,24,1,11827,0,0.382,1
41190,electronics,credit_card,Germany,Nigeria,39,1,12096,1,0.714,1
329465,grocery,upi,Russia,Germany,21,7,13568,0,0.652,1
64920,fuel,debit_card,UK,Nigeria,41,8,8433,1,0.168,1
263013,electronics,debit_card,USA,Germany,9,9,7885,0,0.319,1
321979,crypto,wallet,India,USA,42,9,7042,1,0.53,1
194127,electronics,wallet,Singapore,Singapore,42,1,1956,1,0.847,0
327169,luxury,wallet,Nigeria,UK,2,3,10205,0,0.955,1
252809,grocery,upi,India,Nigeria,4,7,4992,0,0.021,0
199141,gaming,wallet,USA,Germany,8,1,4066,1,0.353,0
267555,gaming,debit_card,Germany,Singapore,32,3,13764,1,0.668,1
103455,grocery,wallet,Nigeria,UAE,14,9,2804,0,0.528,0
235896,luxury,credit_card,Singapore,Singapore,49,0,12096,1,0.943,1
214276,travel,wallet,Singapore,Singapore,13,1,1025,0,0.017,0
184879,electronics,upi,UK,UAE,21,6,8793,0,0.438,1
347549,luxury,credit_card,Nigeria,UK,24,0,2330,1,0.669,1
422009,crypto,credit_card,India,Nigeria,18,0,2699,0,0.218,0
465248,healthcare,credit_card,Germany,UAE,45,1,4695,1,0.726,1
258895,fuel,upi,UK,USA,40,3,3027,0,0.081,0
486332,grocery,debit_card,UAE,Russia,26,6,14173,0,0.451,1
392852,healthcare,wallet,India,Nigeria,32,3,7848,0,0.676,1
156830,electronics,credit_card,India,India,44,4,9335,0,0.267,0
346722,gaming,credit_card,UAE,UAE,33,3,1012,0,0.074,0
384781,fuel,credit_card,USA,UAE,31,3,7044,0,0.957,1
149603,healthcare,debit_card,Nigeria,Singapore,18,8,5625,0,0.914,1
130623,travel,debit_card,Nigeria,USA,35,5,9296,0,0.926,1
2847,healthcare,upi,USA,Germany,12,2,9839,0,0.979,0
123955,crypto,debit_card,Singapore,Germany,25,5,1701,0,0.185,0
452466,gaming,wallet,Russia,Singapore,45,6,13245,0,0.158,1
65825,grocery,upi,UK,UK,31,6,219,0,0.034,0
130081,electronics,upi,Russia,Nigeria,10,7,11781,1,0.892,1
84754,grocery,wallet,Singapore,UAE,47,3,8079,1,0.753,1
429089,fuel,wallet,Nigeria,Nigeria,34,0,8919,0,0.633,0
381590,electronics,wallet,Russia,Nigeria,3,5,7153,0,0.928,1
67535,luxury,upi,India,UAE,46,7,5827,1,0.575,1
319130,travel,upi,India,Singapore,39,4,5586,0,0.13,1
329047,luxury,upi,UAE,Nigeria,8,2,14106,0,0.177,0
31651,luxury,wallet,UAE,UAE,32,3,12806,0,0.132,0
378460,grocery,wallet,Singapore,UK,43,7,8059,1,0.308,1
273638,fuel,credit_card,Singapore,Nigeria,29,5,812,0,0.379,1
331336,travel,debit_card,Germany,Russia,22,4,14838,1,0.797,1
3990,healthcare,credit_card,Singapore,India,20,8,14394,1,0.191,1
41706,electronics,wallet,India,India,6,9,5457,0,0.725,0
489592,electronics,upi,Russia,India,43,2,7678,1,0.491,1
